Data.Precipitation,Date,Station.City,State,Temperature,Wind Speed
0.05,1/3/2016,Flint,Michigan,31,11.13
0.04,1/3/2016,Grand Rapids,Michigan,30,13.3
0.08,1/3/2016,Houghton Lake,Michigan,26,11.16
0.04,1/3/2016,Lansing,Michigan,29,12.5
0.21,1/3/2016,Marquette,Michigan,23,0
0,1/3/2016,Muskegon,Michigan,31,13.23
0.04,1/3/2016,Sault Ste Marie,Michigan,24,9.56
0,1/3/2016,Duluth,Minnesota,22,11.56
0,1/3/2016,International Falls,Minnesota,21,7.76
0,1/3/2016,Minneapolis,Minnesota,23,9.36
0,1/3/2016,Rochester,Minnesota,19,13.73
0,1/3/2016,St Cloud,Minnesota,20,9.03
0,1/3/2016,Greenville,Mississippi,42,4.56
0,1/3/2016,Greenwood,Mississippi,40,2.36
0.38,1/3/2016,Gulfport,Mississippi,47,9.76
0.02,1/3/2016,Hattiesburg,Mississippi,46,5.76
0,1/3/2016,Jackson,Mississippi,44,5.43
0.01,1/3/2016,Meridian,Mississippi,43,5.56
0,1/3/2016,Tupelo,Mississippi,40,4.13
0,1/3/2016,Cape Girardeau,Missouri,37,5.96
0,1/3/2016,Columbia,Missouri,33,9.26
0,1/3/2016,Kansas City,Missouri,29,8.13
0,1/3/2016,Rolla/Vichy,Missouri,33,8.63
0,1/3/2016,Springfield,Missouri,35,7.5
0,1/3/2016,St Joseph,Missouri,26,5.5
0,1/3/2016,St Louis,Missouri,36,9.03
0,1/3/2016,Billings,Montana,23,18.86
0,1/3/2016,Butte,Montana,0,1.8
0,1/3/2016,Cut Bank,Montana,8,4.83
0,1/3/2016,Dillon,Montana,7,6.4
0,1/3/2016,Glasgow,Montana,8,6.16
0,1/3/2016,Great Falls,Montana,17,11
0,1/3/2016,Havre,Montana,10,9
0,1/3/2016,Helena,Montana,3,0.53
0.01,1/3/2016,Kalispell,Montana,6,1.6
0,1/3/2016,Miles City,Montana,19,6.26
0,1/3/2016,Missoula,Montana,7,2.33
0,1/3/2016,Grand Island,Nebraska,26,9.03
0,1/3/2016,Lincoln,Nebraska,26,5.7
0,1/3/2016,Norfolk,Nebraska,22,9.43
0,1/3/2016,North Platte,Nebraska,26,6.7
0,1/3/2016,Omaha,Nebraska,22,6.83
0,1/3/2016,Scottsbluff,Nebraska,18,6.36
0,1/3/2016,Sidney,Nebraska,21,10.86
0,1/3/2016,Valentine,Nebraska,20,7.8
0,1/3/2016,Ely,Nevada,7,3.46
0,1/3/2016,Eureka,Nevada,12,3.4
0,1/3/2016,Las Vegas,Nevada,44,1.03
0,1/3/2016,Mercury,Nevada,39,7.96
0,1/3/2016,Reno,Nevada,22,2.96
0,1/3/2016,Winnemucca,Nevada,12,6.6
0,1/3/2016,Concord,New Hampshire,34,6.16
0,1/3/2016,Mt. Washington,New Hampshire,60,52.6
0,1/3/2016,Atlantic City,New Jersey,36,6.26
0,1/3/2016,Newark,New Jersey,37,10.1
0,1/3/2016,Albuquerque,New Mexico,31,4.63
0,1/3/2016,Clayton,New Mexico,31,5.06
0.02,1/3/2016,Roswell,New Mexico,27,1.8
0.01,1/3/2016,Albany,New York,33,6.23
0.01,1/3/2016,Binghamton,New York,25,8.86
0.13,1/3/2016,Buffalo,New York,29,13.73
0.01,1/3/2016,Glens Falls,New York,33,7.3
0,1/3/2016,Islip,New York,37,8.63
0,1/3/2016,New York,New York,40,11.7
0.05,1/3/2016,Rochester,New York,28,11.23
0.19,1/3/2016,Syracuse,New York,29,11.5
0,1/3/2016,Asheville,North Carolina,39,10.16
0.16,1/3/2016,Cape Hatteras,North Carolina,50,4.43
0,1/3/2016,Charlotte,North Carolina,43,2.3
0,1/3/2016,Greensboro,North Carolina,41,4.2
0,1/3/2016,Hickory,North Carolina,43,2.36
0,1/3/2016,Raleigh/Durham,North Carolina,43,1.86
0.63,1/3/2016,Wilmington,North Carolina,48,5.03
0,1/3/2016,Bismarck,North Dakota,21,7.9
0,1/3/2016,Dickinson,North Dakota,20,10.76
0,1/3/2016,Fargo,North Dakota,20,7.8
0,1/3/2016,Grand Forks,North Dakota,19,9.46
0,1/3/2016,Williston,North Dakota,21,8.1
0.05,1/3/2016,Akron,Ohio,29,11.4
0.02,1/3/2016,Cleveland,Ohio,29,12.43
0,1/3/2016,Columbus,Ohio,31,8.53
0,1/3/2016,Dayton,Ohio,30,11.93
0,1/3/2016,Mansfield,Ohio,27,11.46
0,1/3/2016,Toledo,Ohio,29,12.7
0.03,1/3/2016,Youngstown/Warren,Ohio,28,11.23
0,1/3/2016,Gage,Oklahoma,33,5.46
0,1/3/2016,Oklahoma City,Oklahoma,35,7.16
0,1/3/2016,Ponca City,Oklahoma,33,3.96
0,1/3/2016,Tulsa,Oklahoma,36,5.1
0.21,1/3/2016,Astoria,Oregon,36,9.46
0.06,1/3/2016,Burns,Oregon,7,3.5
0.06,1/3/2016,Eugene,Oregon,30,7.86
0.01,1/3/2016,Medford,Oregon,34,3.4
0.01,1/3/2016,Pendleton,Oregon,19,4
0.31,1/3/2016,Portland,Oregon,32,19.93
0,1/3/2016,Redmond,Oregon,15,2.8
0.29,1/3/2016,Salem,Oregon,32,7.13
0,1/3/2016,Allentown,Pennsylvania,34,8.3
0.31,1/3/2016,Erie,Pennsylvania,29,13.96
0,1/3/2016,Harrisburg,Pennsylvania,36,8.8
0,1/3/2016,Philadelphia,Pennsylvania,39,8.3
0.01,1/3/2016,Pittsburgh,Pennsylvania,31,9.53
0,1/3/2016,Wilkes-Barre/Scranton,Pennsylvania,32,9.13
0.01,1/3/2016,Williamsport,Pennsylvania,31,7.83
0.05,1/3/2016,San Juan,Puerto Rico,77,5.9
0,1/3/2016,Providence,Rhode Island,36,7.36
0,1/3/2016,Anderson,South Carolina,45,1.13
0.55,1/3/2016,Charleston,South Carolina,53,3.86
0,1/3/2016,Columbia,South Carolina,49,2.3
0,1/3/2016,Greer,South Carolina,45,2.53
0,1/3/2016,Aberdeen,South Dakota,18,6.16
0,1/3/2016,Huron,South Dakota,18,8.4
0,1/3/2016,Pierre,South Dakota,22,10.5
0,1/3/2016,Rapid City,South Dakota,24,3.26
0,1/3/2016,Sioux Falls,South Dakota,18,7.2
0,1/3/2016,Bristol/Jhnsn Cty/Kngsprt,Tennessee,34,3.93
0,1/3/2016,Chattanooga,Tennessee,40,3.6
0,1/3/2016,Clarksville,Tennessee,37,5.66
0,1/3/2016,Crossville,Tennessee,34,4.23
0,1/3/2016,Knoxville,Tennessee,36,2.5
0,1/3/2016,Memphis,Tennessee,40,3.53
0,1/3/2016,Nashville,Tennessee,39,3.73
0,1/3/2016,Oak Ridge,Tennessee,37,0.5
0,1/3/2016,Abilene,Texas,41,5.76
0,1/3/2016,Amarillo,Texas,34,4.73
0.22,1/3/2016,Austin/Bergstrom,Texas,46,8
0.2,1/3/2016,Austin/City,Texas,47,4.1
0.02,1/3/2016,Beaumont/Port Arthur,Texas,48,9.56
1.54,1/3/2016,Brownsville,Texas,47,13.2
0,1/3/2016,Childress,Texas,38,4.63
0.01,1/3/2016,College Station,Texas,48,7.73
1.81,1/3/2016,Corpus Christi,Texas,47,13.03
0,1/3/2016,Dalhart,Texas,35,4.23
0,1/3/2016,Dallas,Texas,44,4.9
0,1/3/2016,Dallas-Fort Worth,Texas,46,6.73
0.57,1/3/2016,Del Rio,Texas,47,3.16
0,1/3/2016,El Paso,Texas,37,5
0,1/3/2016,Fort Worth,Texas,44,5.93
0.23,1/3/2016,Galveston,Texas,49,13.9
0.09,1/3/2016,Houston,Texas,50,9.56
0,1/3/2016,Lubbock,Texas,34,5.1
0.04,1/3/2016,Midland,Texas,37,6.4
0,1/3/2016,San Angelo,Texas,42,4.93
1.04,1/3/2016,San Antonio,Texas,47,6.2
1.29,1/3/2016,Victoria,Texas,47,8.46
0,1/3/2016,Waco,Texas,45,6.26
0,1/3/2016,Wichita Falls,Texas,40,8.06
0,1/3/2016,Salt Lake City,Utah,15,1.6
0,1/3/2016,Blacksburg,VA,41,9.33
0.03,1/3/2016,Burlington,Vermont,31,6.5
0,1/3/2016,Lynchburg,Virginia,39,3.6
0,1/3/2016,Norfolk,Virginia,45,4.7
0,1/3/2016,Richmond,Virginia,41,3.6
0,1/3/2016,Roanoke,Virginia,41,9.33
0,1/3/2016,Wallops Island,Virginia,41,4.26
0,1/3/2016,Washington,Virginia,41,4.83
0.07,1/3/2016,Deer Park,Washington,10,6.2
0.07,1/3/2016,Ephrata,Washington,12,7.2
0.02,1/3/2016,Olympia,Washington,26,0.5
0,1/3/2016,Quillayute,Washington,34,2.53
0.02,1/3/2016,Seattle,Washington,35,4.96
0.09,1/3/2016,Spokane,Washington,12,5.2
0.26,1/3/2016,Yakima,Washington,16,3.2
0,1/3/2016,Beckley,West Virginia,33,7.6
0,1/3/2016,Charleston,West Virginia,37,7.23
0,1/3/2016,Elkins,West Virginia,32,5.26
0,1/3/2016,Huntington,West Virginia,36,6.23
0,1/3/2016,Green Bay,Wisconsin,23,9.4
0,1/3/2016,La Crosse,Wisconsin,25,8.16
0,1/3/2016,Madison,Wisconsin,24,5.6
0,1/3/2016,Milwaukee,Wisconsin,26,10.96
0,1/3/2016,Casper,Wyoming,21,16.13
0,1/3/2016,Cheyenne,Wyoming,23,8.33
0,1/3/2016,Lander,Wyoming,11,0.43
0,1/3/2016,Rawlins,Wyoming,3,1.9
0,1/3/2016,Sheridan,Wyoming,22,0.8
0.52,1/10/2016,Birmingham,Alabama,44,6.55
0.43,1/10/2016,Huntsville,Alabama,43,8.34
0.13,1/10/2016,Mobile,Alabama,49,6.58
0.11,1/10/2016,Montgomery,Alabama,47,7.55
0,1/10/2016,Anchorage,Alaska,28,4.02
0.48,1/10/2016,Annette,Alaska,36,5.42
0.03,1/10/2016,Bethel,Alaska,28,18
0,1/10/2016,Bettles,Alaska,6,3.98
2.35,1/10/2016,Cold Bay,Alaska,32,14.3
0.81,1/10/2016,Cordova,Alaska,35,5.88
0,1/10/2016,Delta Junction/Ft Greely,Alaska,13,18.5
0,1/10/2016,Fairbanks,Alaska,2,1.58
0,1/10/2016,Gulkana,Alaska,0,1.35
1.75,1/10/2016,Homer,Alaska,37,9.45
0,1/10/2016,Iliamna,Alaska,37,14.15
0.33,1/10/2016,Juneau,Alaska,27,1.81
0.03,1/10/2016,Kenai,Alaska,30,13.51
1.33,1/10/2016,Ketchikan,Alaska,34,5.17
0.04,1/10/2016,King Salmon,Alaska,35,14.55
2.66,1/10/2016,Kodiak,Alaska,37,16.28
0.03,1/10/2016,Kotzebue,Alaska,23,18.08
0,1/10/2016,Mc Grath,Alaska,14,1.72
0.09,1/10/2016,Nome,Alaska,29,16.57
0,1/10/2016,Northway,Alaska,-13,0.32
0,1/10/2016,Palmer,Alaska,27,8.87
0,1/10/2016,Petersburg,Alaska,60,2.34
0,1/10/2016,Puntilla Lake,Alaska,60,0
0,1/10/2016,Shemya,Alaska,60,14
0.13,1/10/2016,Sitka,Alaska,39,6.31
0.12,1/10/2016,Skagway,Alaska,33,18.64
0.77,1/10/2016,St Paul Island,Alaska,32,18.52
0,1/10/2016,Talkeetna,Alaska,24,5.15
0,1/10/2016,Tanana,Alaska,9,4.65
0.05,1/10/2016,Utqiagvik (Barrow),Alaska,8,12.25
1.26,1/10/2016,Yakutat,Alaska,33,2.42
1.16,1/10/2016,Douglas Bisbee,Arizona,41,4.5
0.61,1/10/2016,Kingman,Arizona,42,5.17
1.13,1/10/2016,Phoenix,Arizona,52,3.64
1.53,1/10/2016,Tucson,Arizona,48,4.98
0.12,1/10/2016,Winslow,Arizona,35,3.81
0.37,1/10/2016,Fort Smith,Arkansas,38,7.5
0.79,1/10/2016,Harrison,Arkansas,34,7.78
1.63,1/10/2016,North Little Rock,Arkansas,40,0
0.69,1/10/2016,Bakersfield,California,51,1.75
0.16,1/10/2016,Bishop,California,36,5.4
0,1/10/2016,China Lake,California,43,3.8
1.83,1/10/2016,Concord,California,49,2.94
2.49,1/10/2016,Eureka,California,49,0
1.28,1/10/2016,Fresno,California,47,3.42
1.15,1/10/2016,Hayward,California,51,5.81
1.96,1/10/2016,Long Beach,California,55,1.58
2.73,1/10/2016,Los Angeles,California,55,3.04
3.59,1/10/2016,Red Bluff,California,46,5.14
4.71,1/10/2016,Redding,California,45,2.5
2.27,1/10/2016,Sacramento,California,48,4.04
1.09,1/10/2016,Salinas,California,51,8.04
2.98,1/10/2016,San Diego,California,57,3.62
2.17,1/10/2016,San Francisco,California,51,4.45
1.89,1/10/2016,Sandberg,California,39,9.58
4.15,1/10/2016,Santa Barbara,California,54,2.22
1.59,1/10/2016,Santa Maria,California,53,3.6
1.43,1/10/2016,Stockton,California,47,5.4
0.55,1/10/2016,Alamosa,Colorado,14,0.92
0.18,1/10/2016,Colorado Springs,Colorado,29,2.92
0.34,1/10/2016,Craig,Colorado,15,0.8
0.38,1/10/2016,Denver,Colorado,27,4.31
0.31,1/10/2016,Grand Junction,Colorado,26,1.48
0.41,1/10/2016,Pueblo,Colorado,28,2.14
1.23,1/10/2016,Bridgeport,Connecticut,33,7.78
1.46,1/10/2016,Windsor Locks,Connecticut,29,5.05
0.68,1/10/2016,Newark,DE,35,6.18
0.68,1/10/2016,Wilmington,Delaware,35,6.18
0.05,1/10/2016,Daytona Beach,Florida,63,8.45
0.94,1/10/2016,Fort Lauderdale,Florida,70,6.9
0.16,1/10/2016,Gainesville,Florida,56,7.41
0.21,1/10/2016,Jacksonville,Florida,53,8.52
0.46,1/10/2016,Key West,Florida,72,8.34
0.84,1/10/2016,Miami,Florida,70,5.75
0.55,1/10/2016,Orlando,Florida,63,7.37
0.69,1/10/2016,Pensacola,Florida,51,6.24
0.92,1/10/2016,Tallahassee,Florida,54,7.4
1.19,1/10/2016,Tampa,Florida,63,6.28
1.59,1/10/2016,Vero Beach,Florida,65,6.87
0.99,1/10/2016,West Palm Beach,Florida,68,7.2
0.69,1/10/2016,Alma,Georgia,49,4.17
0.47,1/10/2016,Athens,Georgia,42,6.84
0.64,1/10/2016,Atlanta,Georgia,43,10.48
0.16,1/10/2016,Augusta,Georgia,45,7.4
0.26,1/10/2016,Macon,Georgia,46,7.84
0.14,1/10/2016,Savannah,Georgia,49,8.22
0.33,1/10/2016,Hilo,Hawaii,73,1.98
0,1/10/2016,Honolulu,Hawaii,74,5.08
0.44,1/10/2016,Kahului,Hawaii,72,6.47
0.16,1/10/2016,Kaunakakai,Hawaii,72,5.25
0.08,1/10/2016,Lihue,Hawaii,73,5.11
0.04,1/10/2016,Boise,Idaho,33,1.9
0.01,1/10/2016,Lewiston,Idaho,36,2.08
0.09,1/10/2016,Pocatello,Idaho,30,3.94
0.47,1/10/2016,Chicago,Illinois,29,8.92
0.22,1/10/2016,Moline,Illinois,26,7.71
0.51,1/10/2016,Peoria,Illinois,30,7.97
0.21,1/10/2016,Quincy,Illinois,28,9.07
0.65,1/10/2016,Rockford,Illinois,26,8.62
0.59,1/10/2016,Springfield,Illinois,35,10.2
12.65,1/10/2016,Evansville,Indiana,36,4.52
1.15,1/10/2016,Fort Wayne,Indiana,31,6.75
1.08,1/10/2016,Indianapolis,Indiana,34,8.75
0.87,1/10/2016,South Bend,Indiana,27,7.35
0.17,1/10/2016,Cedar Rapids,Iowa,22,9.8
0.44,1/10/2016,Des Moines,Iowa,23,8.8
0.23,1/10/2016,Dubuque,Iowa,22,10
0.48,1/10/2016,Sioux City,Iowa,21,9.77
0.52,1/10/2016,Waterloo,Iowa,20,9.67
0.42,1/10/2016,Concordia,Kansas,26,10.24
0.25,1/10/2016,Dodge City,Kansas,31,12
0.02,1/10/2016,Goodland,Kansas,28,9.98
0.5,1/10/2016,Medicine Lodge,Kansas,31,7.94
0.73,1/10/2016,Topeka,Kansas,28,7.47
0.18,1/10/2016,Wichita,Kansas,30,10.34
0.79,1/10/2016,Covington,Kentucky,35,6.97
0.83,1/10/2016,Jackson,Kentucky,38,2.14
0.47,1/10/2016,Lexington,Kentucky,36,7.82
0.4,1/10/2016,Louisville,Kentucky,39,6.91
2.13,1/10/2016,Paducah,Kentucky,36,5.31
1.84,1/10/2016,Baton Rouge,Louisiana,51,6.15
2.1,1/10/2016,Lake Charles,Louisiana,51,8.01
0.75,1/10/2016,New Orleans,Louisiana,54,8.84
1.5,1/10/2016,Shreveport,Louisiana,46,6.58
0.27,1/10/2016,Slidell,Louisiana,51,4.03
1.99,1/10/2016,Bangor,Maine,22,5.52
0.52,1/10/2016,Caribou,Maine,18,6.44
2.11,1/10/2016,Portland,Maine,27,5.88
1.05,1/10/2016,Baltimore,Maryland,35,4.67
0.28,1/10/2016,Salisbury,Maryland,39,6.34
1.39,1/10/2016,Boston,Massachusetts,33,7.51
0,1/10/2016,Milton,Massachusetts,60,9.51
1.12,1/10/2016,Worcester,Massachusetts,28,6.7
0.69,1/10/2016,Alpena,Michigan,24,6.1
0.66,1/10/2016,Detroit,Michigan,31,5.87
0.71,1/10/2016,Flint,Michigan,30,7.12
0.82,1/10/2016,Grand Rapids,Michigan,29,7.62
0.78,1/10/2016,Houghton Lake,Michigan,24,6.77
0.86,1/10/2016,Lansing,Michigan,28,7.34
0.61,1/10/2016,Marquette,Michigan,21,0
0.95,1/10/2016,Muskegon,Michigan,30,8.38
0.61,1/10/2016,Sault Ste Marie,Michigan,25,6.61
0.18,1/10/2016,Duluth,Minnesota,16,8.68
0.1,1/10/2016,International Falls,Minnesota,14,5.78
0.17,1/10/2016,Minneapolis,Minnesota,19,8.74
0.44,1/10/2016,Rochester,Minnesota,17,12.62
0.13,1/10/2016,St Cloud,Minnesota,17,8.54
1.23,1/10/2016,Greenville,Mississippi,42,8.21
0.35,1/10/2016,Greenwood,Mississippi,43,5.12
0.32,1/10/2016,Gulfport,Mississippi,51,6.52
0.11,1/10/2016,Hattiesburg,Mississippi,47,3.94
1.15,1/10/2016,Jackson,Mississippi,46,5.95
0.1,1/10/2016,Meridian,Mississippi,45,5.37
0.4,1/10/2016,Tupelo,Mississippi,40,6.15
1.4,1/10/2016,Cape Girardeau,Missouri,35,8.58
0.69,1/10/2016,Columbia,Missouri,31,9.42
0.6,1/10/2016,Kansas City,Missouri,28,9.34
0.67,1/10/2016,Rolla/Vichy,Missouri,31,9.72
0.69,1/10/2016,Springfield,Missouri,32,10.97
0.54,1/10/2016,St Joseph,Missouri,26,8.41
0.52,1/10/2016,St Louis,Missouri,34,9.15
0.09,1/10/2016,Billings,Montana,23,7.54
0.13,1/10/2016,Butte,Montana,18,1.32
0.07,1/10/2016,Cut Bank,Montana,10,7.65
0.05,1/10/2016,Dillon,Montana,19,4.71
0.11,1/10/2016,Glasgow,Montana,11,6.74
0.14,1/10/2016,Great Falls,Montana,15,5.25
0.12,1/10/2016,Havre,Montana,9,4.65
0.15,1/10/2016,Helena,Montana,16,1.94
0.02,1/10/2016,Kalispell,Montana,22,2.08
0,1/10/2016,Miles City,Montana,13,5.21
0.01,1/10/2016,Missoula,Montana,21,1.88
0.09,1/10/2016,Grand Island,Nebraska,22,11.48
0.51,1/10/2016,Lincoln,Nebraska,24,10.65
0.25,1/10/2016,Norfolk,Nebraska,20,11.07
0.04,1/10/2016,North Platte,Nebraska,25,7.1
0.71,1/10/2016,Omaha,Nebraska,23,11.07
0.04,1/10/2016,Scottsbluff,Nebraska,21,4.11
0,1/10/2016,Sidney,Nebraska,20,7.52
0.01,1/10/2016,Valentine,Nebraska,17,8.7
1.12,1/10/2016,Ely,Nevada,22,7.84
0.08,1/10/2016,Eureka,Nevada,25,5.28
0.26,1/10/2016,Las Vegas,Nevada,48,3.02
0.88,1/10/2016,Mercury,Nevada,42,5.17
0.25,1/10/2016,Reno,Nevada,33,1.4
0.67,1/10/2016,Winnemucca,Nevada,30,3.48
0.82,1/10/2016,Concord,New Hampshire,25,3.65
0,1/10/2016,Mt. Washington,New Hampshire,60,31.11
0.8,1/10/2016,Atlantic City,New Jersey,35,6.57
1.78,1/10/2016,Newark,New Jersey,34,7.24
0.37,1/10/2016,Albuquerque,New Mexico,35,2.61
0.27,1/10/2016,Clayton,New Mexico,31,9.2
0.11,1/10/2016,Roswell,New Mexico,31,1.67
0.9,1/10/2016,Albany,New York,27,4.08
0.74,1/10/2016,Binghamton,New York,25,7.14
0.64,1/10/2016,Buffalo,New York,29,7.87
0.77,1/10/2016,Glens Falls,New York,24,2.61
1.72,1/10/2016,Islip,New York,34,7.87
1.42,1/10/2016,New York,New York,37,8.44
0.63,1/10/2016,Rochester,New York,29,7.14
0.68,1/10/2016,Syracuse,New York,27,5.07
